question,res_w_ref_i9,res_w_ref_i8,res_w_ref_i6,res_w_ref_i7,res_w_ref_i5,res_w_ref_i4,res_w_ref_i0,res_w_ref_i1,res_w_ref_i3,res_w_ref_i2,res_w_ref_i10,res_wo_ref_i8,res_wo_ref_i9,res_wo_ref_i4,res_wo_ref_i5,res_wo_ref_i7,res_wo_ref_i6,res_wo_ref_i2,res_wo_ref_i3,res_wo_ref_i1,res_wo_ref_i0,res_wo_ref_i10,res_w_ref_i9_acc,res_w_ref_i8_acc,res_w_ref_i6_acc,res_w_ref_i7_acc,res_w_ref_i5_acc,res_w_ref_i4_acc,res_w_ref_i0_acc,res_w_ref_i1_acc,res_w_ref_i3_acc,res_w_ref_i2_acc,res_w_ref_i10_acc,res_wo_ref_i8_acc,res_wo_ref_i9_acc,res_wo_ref_i4_acc,res_wo_ref_i5_acc,res_wo_ref_i7_acc,res_wo_ref_i6_acc,res_wo_ref_i2_acc,res_wo_ref_i3_acc,res_wo_ref_i1_acc,res_wo_ref_i0_acc,res_wo_ref_i10_acc,type,level
"Who was the drummer for the recording of ""The Man Who Sold the World"" released in the US in 1970?",Mick Woodmansey,Mick Woodmansey,Mick Woodmansey,Unknown,Mick Woodmansey,Mick Woodmansey.,Mick Woodmansey,Mick Woodmansey,Mick Woodmansey,Mick Woodmansey,Woody Woodmansey,Mick Woodmansey,Mick Woodmansey,Mick Woodmansey,Mick Woodmansey,Mick Woodmansey,Mick Woodmansey,Mick Woodmansey,Mick Woodmansey,Mick Woodmansey,Mick Woodmansey,Mick Woodmansey,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,bridge,medium
"Which series aired first, Auction Kings or Pawn Stars?",Pawn Stars.,Pawn Stars.,Pawn Stars,Pawn Stars,Pawn Stars,Pawn Stars,Pawn Stars,Auction Kings,Pawn Stars.,Pawn Stars.,Auction Kings.,Auction Kings,Auction Kings,Auction Kings.,Pawn Stars,Auction Kings,Pawn Stars,Auction Kings,Pawn Stars,Pawn Stars,Pawn Stars,Auction Kings,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,bridge,medium
"What is the year of the event which occurred first, Vessel was released, or Debut was released?",Debut was released in 1993.,1993,1993,1993,1993,1993,1993,1993,1993,1993,Debut was released first.,1993,Debut was released before Vessel.,1993,1993,Debut was released first.,1993,1993,1993,1993,1993,Debut was released first.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,bridge,medium
Fred Mundee attended the public high school that was built in what year?,1961,1961,1960,No information provided.,1909,1912,1909,1909,1960,1960,1961,1912,1960,1909,No information provided,1960,1913,1909,1962,1909,1909,1960,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,bridge,medium
Which  American politician did Donahue replaced ,Sue Donahue,Kelli Ward,Kelli Ward,Kelli Ward,Kelli Ward,Kelli Ward,No specific American politician is mentioned as being replaced by Donahue.,No specific American politician is mentioned as being replaced by Donahue.,Maurice A. Donahue,Kelli Ward,Kelli Ward,Sue Donahue,Kelli Ward,Sue Donahue,Kelli Ward,Kelli Ward,Kelli Ward,Kelli Ward,Kelli Ward,Kelli Ward,Kelli Ward,Sue Donahue,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,bridge,easy
"Which was released second, Charley and the Angel or Planes?",Charley and the Angel.,Planes,Planes,Planes,Planes,Charley and the Angel,Planes,Charley and the Angel,Planes,Planes,Planes,Charley and the Angel,Charley and the Angel.,Charley and the Angel,Planes,Charley and the Angel,Planes,Charley and the Angel,Planes,Planes,Planes,Planes,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,comparison,hard
What Category 5 hurricane cause the Sqannanoa River to flood?,No Category 5 hurricane caused the Swannanoa River to flood.,Hurricane Ivan,There is no information provided in the context about a Category 5 hurricane causing the Swannanoa River to flood.,There is no mention of a Category 5 hurricane causing the Swannanoa River to flood in the given context.,There is no mention of a Category 5 hurricane causing the Swannanoa River to flood in the provided context.,There is no mention of a Category 5 hurricane causing the Swannanoa River to flood in the provided context.,There is no information provided about a Category 5 hurricane causing the Swannanoa River to flood.,Hurricane Ivan,There is no mention of a Category 5 hurricane causing the Swannanoa River to flood in the given context.,There is no mention of a Category 5 hurricane causing the Swannanoa River to flood in the provided context.,No Category 5 hurricane caused the Swannanoa River to flood.,Hurricane Ivan,Hurricane Ivan,Hurricane Ivan,Hurricane Ivan,Hurricane Ivan,Hurricane Ivan,Hurricane Ivan,Hurricane Ivan,Hurricane Ivan,Hurricane Ivan,Hurricane Avalanche,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,bridge,hard
"James Clark McReynolds (February 3, 1862 – August 24, 1946) was an American lawyer and judge who served as United States Attorney General under President Woodrow Wilson and as an Associate Justice of the United States Supreme Court, he served on the Court, during the presidency of which 30th President of the United States (1923–29)?",Calvin Coolidge,Calvin Coolidge,Calvin Coolidge,Calvin Coolidge,Calvin Coolidge.,Calvin Coolidge,John Calvin Coolidge Jr.,John Calvin Coolidge Jr.,John Calvin Coolidge Jr.,John Calvin Coolidge Jr.,Calvin Coolidge,Calvin Coolidge,Calvin Coolidge,John Calvin Coolidge Jr.,John Calvin Coolidge Jr.,Calvin Coolidge,Calvin Coolidge,John Calvin Coolidge Jr.,John Calvin Coolidge Jr.,John Calvin Coolidge Jr.,John Calvin Coolidge Jr.,Calvin Coolidge,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,bridge,easy
What year saw the founding of the baseball team where Hal McRae played from 1973-87?,1970,1969,1969,1969,1969,1969,1969,1969,1969,1969,1970,1973,1970,1973,1969,1969,1969,1969,1969,1969,1969,1970,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,bridge,hard
What is the nickname of the airplane model flown in Malaysian Airlines Flight 370?,Triple Seven,Triple Seven,Boeing 777,Triple Seven.,Triple Seven,Triple Seven,"""Triple Seven""","""Triple Seven""",Triple Seven,Boeing 777,Triple Seven,Triple Seven,Triple Seven,"""Triple Seven""",Boeing 777,Triple Seven,Boeing 777,Boeing 777,"""Triple Seven""","""Triple Seven""","""Triple Seven""",Triple Seven,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,bridge,hard
"Doloroso, Mississippi rests on the US highway that runs for how many miles?",Unknown.,1400 miles.,Unknown.,Unknown.,Unknown.,Unknown,1400 mi,1400 mi,1400 mi,Unknown,Unknown,Unknown.,1400 miles.,Unknown,1400 mi,1400,1400 miles,1400 mi,1400 mi,1400 mi,1400 mi,Unknown.,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,bridge,hard
What type of vegetation does Cerastium and Pavonia have in common?,Swamp vegetation.,,none,flowering plants,,,swampmallows,None.,swampmallows,swampmallows,Cerastium and Pavonia have the type of vegetation known as herbaceous plants.,Cerastium and Pavonia have open habitat vegetation in common.,Cerastium and Pavonia have no specific type of vegetation in common.,Flowering plants,Both Cerastium and Pavonia have flowering plant vegetation in common.,Both Cerastium and Pavonia have the common vegetation type of Caryophyllaceae.,Cerastium and Pavonia both have flowering plant vegetation in common.,plants,Cerastium and Pavonia both have flowering plant vegetation in common.,Both Cerastium and Pavonia have the type of vegetation known as flowering plants.,plants,"Both Cerastium and Pavonia have the vegetation type of annual, winter annual, or perennial plants in common.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,comparison,medium
How is Scott Speedman and Michael Corvin related?,"Scott Speedman portrayed Michael Corvin in the ""Underworld"" film series.","Scott Speedman portrays Michael Corvin in the ""Underworld"" film series.","Scott Speedman portrays Michael Corvin in the ""Underworld"" series.",Underworld,Underworld.,Underworld.,Underworld.,Underworld.,Underworld,Underworld.,"Scott Speedman portrays Michael Corvin in the ""Underworld"" series.","Scott Speedman portrayed Michael Corvin in the ""Underworld"" film series.","Scott Speedman portrayed the character Michael Corvin in the ""Underworld"" film series.",Underworld,"Scott Speedman portrays Michael Corvin in the ""Underworld"" film series.","Scott Speedman portrays Michael Corvin in the ""Underworld"" series.",Underworld.,Underworld,Underworld,Underworld,Underworld,"Scott Speedman portrays Michael Corvin in the ""Underworld"" film series.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,bridge,easy
Where is the base of one of the three main British intelligence agencies?,Cheltenham,Cheltenham.,Cheltenham.,Cheltenham.,Cheltenham,"Cheltenham, UK.",Cheltenham,Cheltenham,Cheltenham.,Cheltenham,Cheltenham.,Cheltenham,Cheltenham.,Cheltenham,Cheltenham,Cheltenham.,Cheltenham,Cheltenham,Cheltenham,Cheltenham,Cheltenham,Cheltenham,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,bridge,hard
"Canton Road Station was a planned railway station on the Kowloon Southern Link of West Rail Line, that was to run beneath a large shopping mall located where?",Harbour City.,Harbour City,"Harbour City (Tsim Sha Tsui, Hong Kong)","Harbour City, Tsim Sha Tsui, Hong Kong.","Harbour City, Tsim Sha Tsui, Hong Kong.",Harbour City in Tsim Sha Tsui.,"Tsim Sha Tsui, Hong Kong","Tsim Sha Tsui, Hong Kong","Tsim Sha Tsui, Hong Kong.","Harbour City, Tsim Sha Tsui, Hong Kong.",Harbour City.,"Harbour City (Tsim Sha Tsui, Hong Kong)",Harbour City shopping mall.,"Harbour City in Tsim Sha Tsui, Hong Kong.","Harbour City in Tsim Sha Tsui, Hong Kong.","Harbour City in Tsim Sha Tsui, Hong Kong.","Harbour City in Tsim Sha Tsui, Hong Kong.","Tsim Sha Tsui, Hong Kong",Harbour City,"Tsim Sha Tsui, Hong Kong","Tsim Sha Tsui, Hong Kong",Harbour City.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,bridge,easy
What type of species is a Boreo-arctic Montane species found in the most northerly of the abstract five major circles of latitude as shown on maps of the Earth?,Carabus glabratus,Carabus glabratus,Carabus glabratus,Carabus glabratus,Carabus glabratus,Carabus glabratus,beetle,Carabus glabratus beetle.,Carabus glabratus,beetle,Carabus glabratus,Beetle.,Boreo-arctic Montane species,beetle,Beetle,beetle,beetle,beetle,beetle,beetle,beetle,Carabus glabratus,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,bridge,easy
Sojourners and KO Magazine share what publication format?,Print.,Print.,magazine,Print.,Print,magazine,magazine,print magazines,Print,magazine,Print.,Print.,Print,magazine,Print.,Print,Print,magazine,Print.,magazine,magazine,Print,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,comparison,hard
Who was born first George Marshall or Allan Dwan ?,Allan Dwan,Allan Dwan.,Allan Dwan,Allan Dwan.,Allan Dwan,Allan Dwan,Allan Dwan,Allan Dwan,Allan Dwan,Allan Dwan,Allan Dwan,Allan Dwan,Allan Dwan,Allan Dwan,Allan Dwan,Allan Dwan,Allan Dwan,Allan Dwan,Allan Dwan,Allan Dwan,Allan Dwan,George Marshall,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,comparison,medium
It Takes a Family is a response to this 1996 book that was published by who,Hillary Clinton,Hillary Clinton,Hillary Clinton,Hillary Rodham Clinton,Hillary Rodham Clinton,Hillary Rodham Clinton,Hillary Rodham Clinton,Hillary Rodham Clinton,Hillary Rodham Clinton,Hillary Rodham Clinton,"""It Takes a Village""","""It Takes a Village"" by Hillary Clinton.",It Takes a Village,Hillary Rodham Clinton,Hillary Rodham Clinton,Hillary Rodham Clinton,"""It Takes a Village"" by Hillary Rodham Clinton.",Hillary Rodham Clinton,Hillary Rodham Clinton,Hillary Rodham Clinton,Hillary Rodham Clinton,"""It Takes a Village"" by Hillary Clinton.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,bridge,hard
What is the meaning of Trevor Prangley's other division the fought in aside from Light Weight?,Welterweight,Middleweight,Middleweight,Middleweight,Welterweight,Middleweight,Unknown.,Welterweight,Welterweight,Middleweight,Middleweight,Middleweight,Middleweight,Middleweight,Welterweight,Middleweight,Middleweight,Middleweight,Middleweight,Middleweight.,different weight classes,Middleweight,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,bridge,easy
 Rani Silautia is an Indian politician from a party having links with which Hindu nationalist organization ?,Rashtriya Swayamsevak Sangh (RSS),Bharatiya Janata Party (BJP),Rashtriya Swayamsevak Sangh (RSS),RSS,Vishva Hindu Parishad,RSS,Rashtriya Swayamsevak Sangh,the Hindu nationalist Rashtriya Swayamsevak Sangh,RSS,Rashtriya Swayamsevak Sangh (RSS),Bharatiya Janata Party (BJP),Rashtriya Swayamsevak Sangh (RSS),Bharatiya Janata Party (BJP),Rashtriya Swayamsevak Sangh (RSS),RSS,Bharatiya Janata Party (BJP),Rashtriya Swayamsevak Sangh (RSS),Rashtriya Swayamsevak Sangh (RSS),Rashtriya Swayamsevak Sangh (RSS),the Hindu nationalist Rashtriya Swayamsevak Sangh,the Hindu nationalist Rashtriya Swayamsevak Sangh,Bharatiya Janata Party (BJP),1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,bridge,hard
"1979, is a song by American alternative rock band, the Smashing Pumpkins, the second single from their third studio album, was released on October 23, 1995 in the UK, is titled?","""Mellon Collie and the Infinite Sadness""",1979,"""Mellon Collie and the Infinite Sadness""","""Mellon Collie and the Infinite Sadness""",Mellon Collie and the Infinite Sadness,Mellon Collie and the Infinite Sadness,Mellon Collie and the Infinite Sadness,Mellon Collie and the Infinite Sadness,Mellon Collie and the Infinite Sadness,Mellon Collie and the Infinite Sadness,Mellon Collie and the Infinite Sadness,"""1979""",Mellon Collie and the Infinite Sadness,Mellon Collie and the Infinite Sadness,Mellon Collie and the Infinite Sadness,Mellon Collie and the Infinite Sadness,Mellon Collie and the Infinite Sadness,Mellon Collie and the Infinite Sadness,"""Mellon Collie and the Infinite Sadness""",Mellon Collie and the Infinite Sadness,Mellon Collie and the Infinite Sadness,"""Mellon Collie and the Infinite Sadness""",1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,bridge,easy
"Which close friend of George Washington, Alexander Hamilton, and Thomas Jefferson, did a scion of the Huger family of South Carolina attempt to rescue?",Lafayette,Lafayette,Lafayette,Lafayette,Lafayette,Lafayette,"Gilbert du Motier, Marquis de Lafayette","Gilbert du Motier, Marquis de Lafayette",Lafayette,"Gilbert du Motier, Marquis de Lafayette",Lafayette,Lafayette,Lafayette,Lafayette,Lafayette,Lafayette,"Gilbert du Motier, Marquis de Lafayette",Lafayette,Lafayette,"Gilbert du Motier, Marquis de Lafayette","Gilbert du Motier, Marquis de Lafayette",Lafayette,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,bridge,hard
What genre is The Warriors Gate?,Action-adventure-fantasy.,Action-adventure-fantasy,Action-adventure-fantasy.,Action-adventure-fantasy,action,Action-adventure-fantasy.,action,action,Action.,Action-adventure-fantasy,Action-adventure-fantasy.,Action-adventure-fantasy,Action-adventure-fantasy.,action,Action-adventure-fantasy,Action-adventure-fantasy,Action-adventure-fantasy,Action-adventure-fantasy,action,action,action,Action-adventure-fantasy,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,bridge,easy
"Which author was born first, Lorraine Hansberry or Sandra Gulland?",Lorraine Hansberry,Lorraine Hansberry,Lorraine Hansberry,Lorraine Hansberry,Lorraine Hansberry,Lorraine Hansberry,Lorraine Hansberry.,Lorraine Hansberry,Lorraine Hansberry,Lorraine Hansberry,Lorraine Hansberry,Lorraine Hansberry,Lorraine Hansberry,Lorraine Hansberry,Lorraine Hansberry,Lorraine Hansberry,Lorraine Hansberry.,Lorraine Vivian Hansberry,Lorraine Hansberry,Lorraine Hansberry,Lorraine Vivian Hansberry,Lorraine Hansberry,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,comparison,hard
Who is the oldest of the Van Dyke family?,Dick Van Dyke,Jerry Van Dyke.,Dick Van Dyke,Dick Van Dyke,Dick Van Dyke,Dick Van Dyke,Dick Van Dyke,Dick Van Dyke,Dick Van Dyke,Jerry Van Dyke,Jerry Van Dyke,Jerry Van Dyke,Jerry Van Dyke,Dick Van Dyke,Dick Van Dyke,Jerry Van Dyke,Dick Van Dyke,Dick Van Dyke,Dick Van Dyke,Jerry Van Dyke,Dick Van Dyke,Jerry Van Dyke,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,bridge,easy
"Who owns a licensed brand that seeks to engage the private sector in raising awareness and funds to help eliminate HIV/AIDS in eight African countries, who's partner is a Dutch sports and clothing company, which sells alpine sking and tennis equipment?",(RED),(PRODUCT) (RED),(RED),(RED),(RED),RED,RED,RED,RED,RED,(PRODUCT) RED,(PRODUCT) is owned by (RED),(RED),RED,Bono (RED),(RED),(RED),RED,RED,RED,RED,Bono (RED),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,bridge,easy
"What club did  a Swiss footballer primarily recognised as a right-back who signed for a professional football club in 2013 based in Old Trafford, Greater Manchester, England ?",Manchester United,Manchester United,Manchester United,Manchester United,Manchester United,Manchester United,Manchester United,Manchester United,Manchester United,Manchester United,Manchester United,Manchester United,Manchester United,Manchester United,Manchester United,Manchester United F.C.,Manchester United,Manchester United,Saint-Étienne,Saint-Étienne,Saint-Étienne,Manchester United,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,bridge,easy
Do Danny Shirley and James Dean Bradfield play in the same band?,No.,No.,No.,No.,No.,No.,no,No.,No.,No.,No.,No.,No.,No.,No.,No.,No,No.,No.,No.,No.,No.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,comparison,medium
"The metafamily of graphical operating systems developed, marketed, and sold by Microsoft offers what kind of help to musicians?",No specific help mentioned in the provided context.,No specific help.,,No specific help mentioned in the given context.,,No specific help to musicians.,None.,,No specific help.,,No help is offered to musicians.,Music licensing platform.,Music licensing platform.,software for singing training,software for singing training,Music licensing platform.,software for singing training,software for singing training,software for singing training,software for singing training,software for singing training,Music licensing platform.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,bridge,hard
What is the connection between Félix du Temple de la Croix and Early flying machines?,Pioneering early flying machines.,Félix du Temple de la Croix developed early flying machines.,Félix du Temple de la Croix developed early flying machines.,Early flying machines development,Pioneer in early flying machines.,inventing early flying machines,pioneering aircraft developer,Inventor of early flying machines.,Pioneering aircraft developer.,invention of flying machines,Inventor of early flying machines.,Pioneer in early flying machines.,Félix du Temple de la Croix developed early flying machines.,aircraft of any sort,Félix du Temple de la Croix developed early flying machines.,Félix du Temple de la Croix developed early flying machines.,Félix du Temple de la Croix developed early flying machines.,inventor of early flying machines,Félix du Temple de la Croix developed early flying machines.,aircraft of any sort,aircraft of any sort,Félix du Temple de la Croix developed early flying machines.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,bridge,easy
What American businessman and guided the character Epick Mickey?,Warren Spector,Warren Spector,Warren Spector,Bob Iger,Warren Spector,Warren Spector,Bob Iger,Bob Iger,Warren Spector,Bob Iger,Warren Spector,Warren Spector,Warren Spector,Warren Spector,Warren Spector,Warren Spector,Warren Spector,Bob Iger,Warren Spector,Bob Iger,Bob Iger,Warren Spector,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,bridge,easy
"Closer to the Sun is the third studio album by Australian singer-songwriter Guy Sebastian, released on 28 October 2006 by Sony BMG Australia, some tracks that appear on the album were premiered at the free concert, on 27 September 2006, at Federation Square,  a mixed-use development in the inner city of Melbourne, it is located at the intersection of Flinders Street and Swanston Street/St Kilda Road in the city's Central Business District, adjacent which location?",Federation Square,Flinders Street Station,Flinders Street railway station.,Flinders Street,Flinders Street Station,Flinders Street railway station,Flinders Street railway station,Flinders Street railway station.,Flinders Street railway station,Flinders Street railway station,Federation Square,Flinders Street railway station.,Federation Square,Federation Square,Federation Square,Federation Square.,Flinders Street railway station,Flinders Street railway station,Flinders Street railway station,Flinders Street railway station,Flinders Street railway station,Federation Square,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,bridge,easy
"Dicksonia and Hardenbergia, are found in Australia?",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,yes,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,yes,yes,Yes.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,comparison,easy
What's the difference between Texas Monthly nd Lucky?,"Texas Monthly covers various topics related to life in Texas, while Lucky focuses on beauty and fashion.","Texas Monthly covers various aspects of life in Texas, while Lucky focuses on fashion and lifestyle.","Texas Monthly covers various topics about life in Texas, while Lucky focuses on fashion and beauty.","Texas Monthly: Covers various aspects of life in Texas
Lucky: Focuses on fashion and lifestyle","Texas Monthly covers life in Texas, while Lucky focuses on fashion and lifestyle.","Texas Monthly covers various aspects of life in Texas, while Lucky focuses on beauty and fashion.","Texas Monthly: Covers various aspects of life in contemporary Texas
Lucky: Focuses on fashion and lifestyle","Texas Monthly covers various aspects of life in contemporary Texas, while Lucky focuses on fashion and lifestyle.","Texas Monthly covers various aspects of life in contemporary Texas, while Lucky focuses on fashion and beauty.","Texas Monthly covers various topics about life in Texas, while Lucky focuses on beauty and fashion.","Texas Monthly: Covers various aspects of life in Texas.
Lucky: Focuses on beauty and fashion.","Texas Monthly covers a wide range of topics related to Texas, while Lucky is focused on beauty and fashion.","Texas Monthly is a magazine that covers various aspects of life in Texas, while Lucky was a fashion and lifestyle magazine.","Texas Monthly is a magazine that covers life in contemporary Texas, while Lucky is a fashion and lifestyle magazine.","Texas Monthly covers life in Texas, while Lucky is a beauty and fashion magazine.","Texas Monthly is a magazine about life in contemporary Texas, while Lucky was a beauty and fashion magazine.","Texas Monthly is a magazine that covers life in Texas, while Lucky is a fashion and lifestyle magazine.","Texas Monthly is a magazine that covers various aspects of life in Texas, while Lucky is a fashion and lifestyle magazine.","Texas Monthly is a magazine that covers various topics about Texas, while Lucky was a fashion and lifestyle magazine.","Texas Monthly is a magazine about life in Texas, while Lucky is a fashion and lifestyle magazine.",first published in 2000,"Texas Monthly covers life in Texas, while Lucky focuses on beauty and fashion.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,comparison,easy
Do the magazines Femina and Take a Break have a similar readership?,Unclear.,No.,No.,No.,No.,No.,Unclear.,No.,unclear,No.,Unknown.,No.,No.,No.,No,No.,No,No.,No.,no,yes,No.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,comparison,easy
What is a similarity between the Cairn Terrier and the German Hound?,Both breeds are used for hunting.,Both breeds are used for hunting.,Both breeds are used for hunting.,Both breeds are used for hunting.,Both are breeds of dogs.,Both breeds are used for hunting.,used for hunting,No specific similarity mentioned in the context.,Both breeds are used for hunting.,Both breeds are used for hunting.,Both breeds are known for their hunting abilities.,Both breeds are used for hunting.,Both are breeds of dogs.,Both breeds are used for hunting.,used for hunting,Both are breeds of dogs.,Both are breeds of dogs.,Both breeds are used for hunting.,Both are breeds of dogs.,used for hunting,used for hunting,Both are breeds of dogs.,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,comparison,easy
Are the Lancashire Heeler and the Glen of Imaal Terrier both listed by the Kennel Club (UK) as a vulnerable breed?,No.,No.,Yes.,No.,No.,Yes.,No.,No.,No.,No.,Yes.,No.,No.,No.,No.,No.,No.,No.,No.,No.,no,No.,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,comparison,easy
