question,extracted_sentences
"Where does Irina Peltsin's character live in the show ""The Sopranos""?","['Oksana Lada (Ukrainian: Oксана Лада ; born March 3, 1979) is a Ukrainian actress, probably best known for the role as Irina Peltsin, the mistress of Tony Soprano, on the hit HBO TV series ""The Sopranos"".', ' The story revolves around the fictional character, New Jersey-based Italian American mobster Tony Soprano (James Gandolfini).']"
what chain of British department stores was built in 1961?,"['The Alhambra was an entertainment complex in Blackpool, Lancashire, England, from 1899–1903.', ""Lewis's was a chain of British department stores that operated from 1856 to 2010.""]"
"Who has been a member of more bands, Caleb Shomo or John Rzeznik?","['Caleb Joshua Shomo (born December 1, 1992) is the lead vocalist of hardcore band Beartooth, the former lead vocalist, guitarist, keyboardist, and early on backing vocalist of metalcore band Attack Attack!', ', and the owner of Studio Records in Columbus, Ohio.', ' Shomo joined Attack Attack!', 'John Joseph Theodore Rzeznik ( ; born December 5, 1965) is an American musician, singer-songwriter, and producer.', ' He is best known as the guitarist and frontman of the rock band the Goo Goo Dolls, of which he is a founding member and with whom he has recorded eleven studio albums.']"
"Myles Kennedy and Robert Palmer, share which mutual occupations?","[""Myles Richard Kennedy (born Myles Richard Bass; November 27, 1969) is an American musician, singer, and songwriter, best known as the lead vocalist and rhythm guitarist of the rock band Alter Bridge, and as the lead vocalist in guitarist Slash's backing band, known as Myles Kennedy and the Conspirators."", 'Robert Allen Palmer (19 January 1949 – 26 September 2003) was an English singer-songwriter, musician, and record producer.']"
"Ritwik Ghatak and Jehane Noujaim, are Bengali?","['Ritwik Ghatak (Bengali: ঋত্বিক কুমার ঘটক , ""Ritbik Kumar Ghôţôk"",    ; 4 November 19256 February 1976) was a Bengali filmmaker and script writer.', 'Jehane Noujaim (Egyptian Arabic: چيهان نچيم\u200e \u200e , ] ) is an Egyptian American documentary film director best known for her films ""Control Room"", ""Startup.com"", ""Pangea Day"" and ""The Square,"" the latter of which earned her a nomination for an Academy Award.']"
"Thurn and Taxis and Cluedo, are which form of entertainment?","['Thurn and Taxis is a board game designed by Karen and Andreas Seyfarth and published in 2006 by Hans im Glück in German (as ""Thurn und Taxis"") and by Rio Grande Games in English.', 'Cluedo ( )—known as Clue in North America—is a murder mystery game for three to six players, devised by Anthony E. Pratt from Birmingham, England.']"
Were the bands  OK Go and The New Pornographers formed in the same city?,"['OK Go is an American rock band originally from Chicago, Illinois, now based in Los Angeles, California.', 'The New Pornographers is a Canadian indie rock band formed in 1997 in Vancouver, British Columbia.']"
"Who was born earlier, Roger Taylor or Elizabeth Fraser?","['Roger Meddows Taylor (born 26 July 1949) is an English musician, singer and songwriter.', 'Elizabeth Davidson Fraser (born 29 August 1963), sometimes known as Liz Fraser, is a British singer, songwriter and musician from Grangemouth, Scotland, best known as the vocalist for the band Cocteau Twins.']"
"Which magazine was published first, Who Put the Bomp or Curve?","['Who Put The Bomp was a rock music fanzine edited and published by Greg Shaw from 1970 to 1979.', ' Its name came from the hit 1961 doo-wop song by Barry Mann, ""Who Put the Bomp"".', ' It covers news, politics, social issues, and includes celebrity interviews and stories on entertainment, pop culture, style, travel, and a website that hosts an internet forum focusing on lesbian issues, active since 2000.']"
Which movie came out first Snow Dogs or Sacred Planet ?,"['Snow Dogs is a 2002 American Northern adventure comedy film directed by Brian Levant, and starring Cuba Gooding Jr. and James Coburn.', 'Sacred Planet is a 2004 documentary directed by Jon Long and Hairul Salleh Askor.']"
"Who has been a member of more bands, Tom Petty or Bobby Gillespie?","[' He is best known as the lead singer of Tom Petty and the Heartbreakers, but is also known as a member and co-founder of the late 1980s supergroup the Traveling Wilburys (under the pseudonyms of Charlie T. Wilbury Jr. and Muddy Wilbury), and his early band Mudcrutch.', ' He is the lead singer and founding member of the alternative rock band, Primal Scream.', ' He was also the drummer for The Jesus and Mary Chain in the mid-1980s.']"
"Who is older, Peter Tscherkassky or Abel Ferrara?","['Peter Tscherkassky (born October 3, 1958) is an Austrian avant-garde filmmaker who works primarily with found footage.', 'Abel Ferrara (born July 19, 1951) is an American filmmaker, known for the provocative and often controversial content in his films, his use of neo-noir imagery and gritty urban settings.']"
Which of Chan Yung-jan and Svetlana Kuznetsova has appeared in more Gland Slam finals?,"[' She also finished runner-up in three other Grand Slam finals: the 2007 and 2015 Australian Open, as well as the 2007 US Open.', 'Svetlana Aleksandrovna Kuznetsova (Russian: Светла́на Алекса́ндровна Кузнецо́ва ; ] ; born 27 June 1985) is a Russian tennis player.', ' Kuznetsova has appeared in four Grand Slam singles finals, winning two, and has also appeared in seven doubles finals, winning twice.']"
Are Michael Crichton and McG both authors?,"['John Michael Crichton ( ; October 23, 1942 – November 4, 2008) was an American best-selling author, screenwriter, film director and producer best known for his work in the science fiction, medical fiction and thriller genres.', 'Joseph McGinty Nichol (born August 9, 1968), known mononymously as McG, is an American director, producer, and former record producer.']"
Is the Staffordshire Bull Terrier bigger than the Miniature American Shepherd?,"['The Miniature American Shepherd, frequently abbreviated MAS, is a small herding dog breed.', 'The Staffordshire Bull Terrier is a medium-sized, short-coated breed of dog of English lineage and may be considered to be within the pit bull type.']"
Did the composer Charles Gounod or Mikhail Glinka live past the year 1875?,"['Charles-François Gounod (] ; 17 June 181817 or 18 October 1893) was a French composer, best known for his ""Ave Maria,"" based on a work by Bach, as well as his opera ""Faust"".', 'Mikhail Ivanovich Glinka (Russian: Михаи́л Ива́нович Гли́нка ; 1 June [O.S. 20 May] 1804 15 February [O.S. 3 February] 1857 ) was the first Russian composer to gain wide recognition within his own country, and is often regarded as the fountainhead of Russian classical music.']"
Are Sorghastrum and Calocedrus both a genus of grass,"['Sorghastrum is a genus of grasses, native to Africa and the Americas.', 'Calocedrus (common name incense cedar, alternatively spelled incense-cedar) is a genus of coniferous trees in the cypress family Cupressaceae first described as a genus in 1873.']"
who was born first Brian Trenchard-Smith or James Bridges ?,"['Brian Trenchard-Smith (born 1946) is an English-Australian film and television director, producer, writer, consultant and actor who is notable for his contributions to the horror and action genre during the 1970s and 1980s in Australia.', 'James Bridges (February 3, 1936June 6, 1993) was an American screenwriter, film director, producer and actor.']"
